"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"2","0.000058","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=1282 Win=210 Len=0 TSval=471866760 TSecr=3839641490"
"3","0.006734","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"4","0.006734","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"5","0.007144","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"6","0.007144","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"7","0.007144","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"8","0.007181","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=3844 Win=210 Len=0 TSval=471866767 TSecr=3839641499"
"9","0.007197","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=3844 Win=194 Len=0 TSval=471866767 TSecr=1306369275"
"10","0.009437","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"11","0.009490","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=5125 Win=194 Len=0 TSval=471866769 TSecr=1306369278"
"12","0.010167","135.233.45.221","192.168.31.133","TCP","54","443  >  35223 [FIN, ACK] Seq=1 Ack=1 Win=16384 Len=0"
"13","0.010200","192.168.31.133","135.233.45.221","TCP","54","35223  >  443 [ACK] Seq=1 Ack=2 Win=252 Len=0"
"14","0.031548","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"15","0.031548","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"16","0.031916","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"17","0.031916","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"18","0.031974","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=7687 Win=210 Len=0 TSval=471866792 TSecr=3839641508"
"19","0.032002","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"20","0.032019","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=8968 Win=210 Len=0 TSval=471866792 TSecr=3839641516"
"21","0.032177","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
